group,scene,condition,method,seed,configured_budget_s,actual_duration_s,duration_status,reconstruction_frames,decision_captures,path_length_m,planning_wall_time_s,eval_views,n_severe,n_clean,psnr_shared,psnr_severe,psnr_clean,psnr_cube_provisional,recorded_psnr_shared,delta_from_recorded_db,scoring,historical_completeness_5cm,historical_ssim,historical_lpips
mesh,van_gogh_room,d0,r3con-pano,0,300,300.0,complete,301,66,131.6616457139611,12.262990221264772,40,20,20,30.45285564961211,31.376922620503525,29.528788678720712,,30.452855414826324,2.3478578725644184e-07,export_reload_legacy_dc,0.9866183735943989,0.8777415961027145,0.11867937482893468
mesh,van_gogh_room,d0,magician,0,300,300.0,complete,301,197,118.1,702.1027027707314,40,20,20,30.03691747403328,30.839962724115953,29.233872223950584,,30.036917553102093,-7.906881194230664e-08,export_reload_legacy_dc,0.932364440942018,0.8703174278140068,0.1134315715637058
mesh,van_gogh_room,d0,fisherrf,0,300,300.0,complete,301,106,139.73979786273796,1273.1943131017615,40,20,20,30.280073851498848,30.226843593631987,30.33330410936573,,30.280074036941166,-1.8544231750183826e-07,export_reload_legacy_dc,0.9358651835237778,0.8870342746376991,0.08706307420507073
mesh,van_gogh_room,d0,gavis,0,300,300.0,complete,301,103,144.0499450792356,2055.4976848959923,40,20,20,29.730254457569878,29.994819201042674,29.465689714097095,,29.73025445511733,2.4525483866000286e-09,export_reload_legacy_dc,0.9941502743006092,0.8695835694670677,0.12106675636023283
mesh,van_gogh_room,d0,random,0,300,300.0,complete,301,443,64.46232118700449,0.02533661585766822,40,20,20,25.30776671973669,25.91781719274214,24.69771624673125,,25.307766750986094,-3.1249403065203296e-08,export_reload_legacy_dc,0.9159973327675568,0.8111421152949333,0.1998252347111702
mesh,van_gogh_room,dyn,r3con-pano,0,300,300.0,complete,301,96,114.81274860930127,17.285838087962475,40,20,20,25.173631230350313,19.79552538811476,30.551737072585855,,25.17363122892763,1.4226841926756606e-09,export_reload_legacy_dc,0.9772375958536659,0.8160616159439087,0.22446904513053595
mesh,van_gogh_room,dyn,magician,0,300,300.0,complete,301,203,112.32945966042102,717.8119844651665,40,20,20,23.204203683692818,19.615457063622056,26.79295030376357,,23.204203675649744,8.043073762564745e-09,export_reload_legacy_dc,0.926226775376595,0.7706926107406616,0.28504559192806483
mesh,van_gogh_room,dyn,gavis,0,300,300.0,complete,301,103,142.60271857784818,1900.0478354172083,40,20,20,24.662546477522618,18.2959965078485,31.029096447196736,,24.662546437340676,4.018194132981989e-08,export_reload_legacy_dc,0.989709938471797,0.7868720293045044,0.2528416967950761
mesh,mp3d_17DRP5sb8fy,d0,r3con-pano,0,300,300.0,complete,301,85,122.8565650316162,19.065562025120016,39,19,20,27.598097034950623,30.449210299151602,24.889539433959698,,27.598096984870264,5.008035941500566e-08,export_reload_legacy_dc,0.8845216341088294,0.9197659599475372,0.19536835356400564
mesh,mp3d_17DRP5sb8fy,d0,magician,0,300,300.0,complete,301,144,115.09999999999995,292.5580176616786,39,19,20,19.815997335912098,22.024126615243603,17.71827452054717,,19.815997335881324,3.077360588576994e-11,export_reload_legacy_dc,0.5703875174164248,0.7909760659027737,0.34971353029593444
mesh,mp3d_17DRP5sb8fy,d0,fisherrf,0,300,300.0,complete,301,84,140.16428324778477,1265.1918361476273,39,19,20,19.881484415230933,20.469924687436738,19.322466156635414,,19.87280526024396,0.008679154986971582,export_reload_legacy_dc,0.8390895337902229,0.8283594586910346,0.35718232698929614
mesh,mp3d_17DRP5sb8fy,d0,gavis,0,300,300.0,complete,301,35,147.37555182391606,452.50233104574727,39,19,20,24.619504787260404,28.439529784107243,20.990481040255904,,24.61950477111768,1.614272449046439e-08,export_reload_legacy_dc,0.7606204807719525,0.8454097396550844,0.26758338854863095
mesh,mp3d_17DRP5sb8fy,d0,random,0,300,300.0,complete,301,421,78.64048683369656,0.025566639320459217,39,19,20,24.850080331526286,29.805180277002442,20.142735383323945,,24.850080337594015,-6.067729430014879e-09,export_reload_legacy_dc,0.6948925449839124,0.8348169370870798,0.26082219641942245
mesh,mp3d_17DRP5sb8fy,dyn,r3con-pano,0,300,300.0,complete,301,67,128.44309027646096,15.230615517764818,39,19,20,20.79393142608722,16.83123946354875,24.558488790498764,,20.79393141178524,1.4301978268349558e-08,export_reload_legacy_dc,0.853107593403932,0.8664048130695636,0.31475037317245436
mesh,mp3d_17DRP5sb8fy,dyn,magician,0,300,300.0,complete,301,127,123.29999999999998,263.88620925694704,39,19,20,14.58154311273228,12.959748880476965,16.122247633374833,,14.581543118382768,-5.6504880774355115e-09,export_reload_legacy_dc,0.5539665415934102,0.6921202803615671,0.5056977675129206
